iter	Passed	Remaining
0	1	147
1	5	245
2	6	217
3	7	186
4	8	163
5	9	148
6	10	139
7	11	134
8	12	129
9	13	122
10	15	123
11	16	122
12	20	136
13	21	132
14	22	127
15	23	122
16	24	118
17	25	114
18	26	111
19	27	108
20	28	106
21	29	105
22	33	111
23	36	114
24	37	111
25	37	108
26	38	104
27	39	101
28	40	99
29	41	96
30	42	94
31	43	92
32	44	90
33	47	91
34	48	90
35	50	89
36	50	86
37	51	84
38	52	82
39	53	80
40	54	78
41	55	76
42	55	74
43	56	71
44	57	70
45	59	69
46	61	69
47	63	68
48	64	67
49	65	65
50	66	63
51	67	62
52	68	60
53	68	58
54	69	57
55	70	55
56	71	54
57	72	52
58	74	51
59	76	51
60	77	49
61	79	48
62	80	47
63	80	45
64	81	44
65	82	42
66	83	41
67	84	39
68	85	38
69	86	36
70	87	35
71	89	34
72	91	34
73	92	32
74	94	31
75	95	30
76	96	28
77	96	27
78	97	25
79	98	24
80	99	23
81	99	21
82	100	20
83	101	19
84	103	18
85	106	17
86	107	16
87	108	14
88	109	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	121	0
